"","","cIfeQ515","t2lzh918","5KTmnC80","8bWxTQTP","MrF79raA","I94q8zpE","vqHfQURj","IEugXXTw","B89","0U9","aMQ","IES","EM3","DYP","r5M","4zB","unU","wfm","nEo","xov","24a"
"ID","Name","Author Firstname","Author Surname","ISBN","Image URL Large","Image URL Thumb","Number of Pages","Soundcloud Track ID","Synopsis","Easy to Read_Challenging","Fantasy_Reality","Funny_Serious","Historical_Futuristic","Less Action_More Action","Australian","Has audio review","Long","Medium","Series","Series lead","Short","VPRC"
"QHuxnFFe","Maybe","Morris","Gleitzman","9780670079377","http://cdn.bookfish.net.au/covers/9780670079377/default.jpg","http://cdn.bookfish.net.au/covers/9780670079377/thumb.jpg","225","","1946. Europe is in ruins. Millions of people dream of finding happiness somewhere else. Fourteen year old Felix is one of them. When he's offered a journey to Australia, he seizes the opportunity. So does someone very dear to him, even though she wasn't actually invited. They have high hopes for Australia, and their dramatic arrival there makes them want to stay. But before Felix and Anya can embrace the love and friendship of their new land, they must confront the murderous urge for revenge still alive in the old. Felix knows he hasn't faced anything like this before. He may not survive, but he's hoping he will. Maybe.","17","20","20","1","15","1","0","1","0","1","0","0","1"
"JHFquZqL","Maybe A Bear Ate It!","Robie","Harris","9780439929615","","http://cdn.bookfish.net.au/covers/9780439929615/small.jpg","0","","At bedtime, a young boy who cannot find his favorite book imagines the various creatures that might have taken it from him.","10","10","10","10","10","0","0","0","0","0","0","0","0"
"SyZvQRQp","Mayhem at Magic School","George","Ivanoff","9780857983848","","http://cdn.bookfish.net.au/covers/9780857983848/small.jpg","240","","","12","5","15","5","15","1","0","0","1","1","1","0","1"
"RNqIcBCT","Maze of Doom","George","Ivanoff","9780857983855","","http://cdn.bookfish.net.au/covers/9780857983855/small.jpg","240",""," **Supreme ruler of the world or misfortune for life? You choose!**

 
 

You are an ordinary kid?or so you think. But strange things start to happen. You make a rabbit appear from underneath your teacher's hat. Then you dream about a mystical diamond and a mysterious old woman with long white hair. It turns out you have magical powers. Do you try to keep your talents hidden, or do you go off to Magic School?

","12","5","15","5","15","1","0","0","1","1","0","0","1"
"osiqzVsH","Me and My Dad!","Alison","Ritchie","9780864617835","","http://cdn.bookfish.net.au/covers/9780864617835/small.jpg","32","","My dad wakes me up every morning, like this . . . he tickles my nose and gives me a kiss. Little Bear and his dad do wonderful things-exploring high in the mountains, swimming in the rain and telling stories as the stars come out. And best of all, they do everything together!

","10","10","10","10","10","0","0","0","0","0","0","1","0"
"fyNcfX2b","Me and the School (un)Fair","Karen","McCombie; Lydia Monks (Illustrator)","9781406311884","","http://cdn.bookfish.net.au/covers/9781406311884/small.jpg","160","","It's all hands on deck when Miss Levy announces plans for the school fair. Indie Kidd soon sets to work, rallying round her furry friends at the Animal Rescue Centre to create a petting zoo. However, not everything goes according to plan.

","11","5","8","10","10","0","0","1","0","1","0","0","1"
"RNf5B4Rt","Me! : (Just like you, only better)","Jim.","Benton","9780545116169","","http://cdn.bookfish.net.au/covers/9780545116169/small.jpg","160","","There are more than 5 million Dear Dumb Diary books in print!  

   

   

 Bestselling author Jamie Kelly is back with an all-new, all-funny diary! But she has no idea that anybody is reading it. So please, please, please don't tell her.  

   

   

 Dear Dumb Diary,  

   

   

 I went five whole days without seeing or hearing from Angeline. I was beginning to get used to it. It's true that I have learned to overlook many of Angeline's flaws, like her flawlessness, but she can still be difficult to be around. Like when she's lit perfectly, for example.  

   

   

 To my extreme credit, I have learned to pretend to ignore Angeline's failure to not be perfect.","5","3","0","9","2","0","0","1","0","1","0","0","0"
"eXz6EZJ6","Meet Alice","Davina","Bell; Lucia Masciullo (Illustrator)","9780143306290","","http://cdn.bookfish.net.au/covers/9780143306290/small.jpg","136","","It's 1918 . . .and Alice lives with her big family by the Swan River in Perth, while on the other side of the world, the Great War rages. Alice's deepest wish is to become a ballerina, and when she auditions for a famous dance teacher from London, it seems as if her dreams might come true. But then there's a terrible accident, and Alice must ask herself whether there are more important things than dancing.Meet Alice and join her adventure in the first of four stories about a gifted girl in a time of war.","15","11","17","0","15","1","0","0","1","1","0","0","0"
"nQc1Os1t","Meet Captain Cook","Rae","Murdie","9780857980175","","http://cdn.bookfish.net.au/covers/9780857980175/small.jpg","32","","Captain Cook was the first European to discover the eastern coast of Australia. Along with his crew on the HMS Endeavor, Cook set out from England with royal orders to look for signs of the great southern land known as Terra Australis, which they chartered in 1788. From Ned Kelly to Saint Mary Mackillop, Captain Cook to Douglas Mawson, the Meet... series of picture books tells the exciting stories of the men and women who shaped Australian history.","4","20","18","2","10","1","0","0","0","0","0","1","1"
"tyb6IgDj","Meet Daisy","Michelle","Hamer","9780143307631","","http://cdn.bookfish.net.au/covers/9780143307631/small.jpg","129","","It's 1930 . . .nbsp;and Daisy lives on a farm, where she loves riding her horse, Jimmy, through the paddocks. Times are tough, and when her father loses his job, Daisy and her little sister, Flora, are sent to Melbourne to live with their aunt and uncle. Daisy must leave behind everyone she loves for a city she's never seen, and even her wildest daydreams can't prepare her for the new life that awaits her . . .Meet Daisy and join her adventure in the first of four exciting stories about a hopeful girl in troubled times.","12","18","15","2","10","1","0","0","1","1","1","0","1"
"Cs4dgC3Q","Meet Grace","Sofie","Laguna; Lucia Masciullo (Illustrator)","9780143305286","","http://cdn.bookfish.net.au/covers/9780143305286/small.jpg","136","","It's 1808 . . .and Grace is living with her uncle in London. They have no money, and Grace is always lonely and often hungry. the best part ofher day is going to Fleet Street to talk to the horses that she loves so much. One afternoon Grace can't resist taking a shiny red apple from a grocer's cart - and then another... Before she knows it, Grace is being chased through the streets! Will she be caught and sent to prison - or worse?Meet Grace and join her adventure in the first of four exciting stories about a brave convict girl who is given a second chance.","9","17","14","4","11","1","0","0","1","1","0","0","1"
"JHQMCZBE","Meet Me in Horrorwood","Geronimo.","Stilton","9780545307437","","http://cdn.bookfish.net.au/covers/9780545307437/small.jpg","128","","This NEW Geronimo Stilton series spinoff stars spooky, silly Creepella von Cacklefur!  

   

   

 Gorgo, the monster in Cacklefur Castle's moat, is in love with the famouse monster movie star Blobbina. When Creepella helps Gorgo write Blobbina a love letter, they discover that Blobbina has disappeared! Creepella heads to Horrorwood to search for the missing monster, but will she be able to find her?","9","5","9","10","16","0","0","0","1","1","0","0","1"
"GPHhlkeL","Meet Nellie","Penny","Matthews; Lucia Masciullo (Illustrator)","9780143306238","","http://cdn.bookfish.net.au/covers/9780143306238/small.jpg","136","","It's 1849 . . .and Nellie O'Neill is arriving in South Australia on a ship bringing orphan girls from Irish workhouses. Nellie and her best friend, Mary, have left the famine in Ireland far behind, and are full of hopes and dreams for the future. Nellie longs to learn to read, to be part of a family once more, and never to be hungry again. But with no job and no one to turn to, how will Nellie make her wishes come true?Meet Nellie and join her adventure in the first of fourstoriesabout an Irish girl with a big heart, in search of the freedom to be herself.","6","19","18","2","11","1","0","0","1","1","0","0","1"
"Qc4NHiGO","Meet Pearlie","Gabrielle","Wang","9780143307945","","http://cdn.bookfish.net.au/covers/9780143307945/small.jpg","131","","It's1941 . . . and the war is changing Pearlie's life every day. Darwin is full of soldiers, there's a spy on the loose, and people are turning against Pearlie's best friend, Naoko, just because she's Japanese. When everything falls apart, will Pearlie be brave enough to stick up for what's right, or will her old fears get the better of her?Meet Pearlie and join her adventure in the first of four exciting stories about a courageous girl in a world at war.","12","18","15","2","10","1","0","0","1","1","1","0","1"
"xswEcHZ1","Meet Poppy","Gabrielle","Wang; Lucia Masciullo (Illustrator)","9780143305323","","http://cdn.bookfish.net.au/covers/9780143305323/small.jpg","136","","It's 1864 . . .and Poppy lives at bird Creek Mission near Echuca. Poppy hates the Mission, especially now that her brother, Gus, has run away to pan for gold. What if Poppy escaped, too? Would she survive alone in the bush? and would she ever find Gus, whom she loves more than anything in the world?Meet Poppy and join her adventure in the first of four stories about a Gold Rush girl who dreams of a better life.","9","14","10","4","12","1","0","0","1","1","1","0","1"
"fBXQUUzX","Meet Ruby","Penny","Matthews; Lucia Masciullo (Illustrator)","9780143307426","","http://cdn.bookfish.net.au/covers/9780143307426/small.jpg","132","","It's 1930 . . . and Ruby Quinlan lives in a big house in Adelaide with her parents and her fox terrier, Baxter. As she gets ready for her twelfth birthday party, Ruby has never been happier. But the world she knows is collapsing, and people everywhere are losing their jobs and their homes. Soon Ruby's comfortable life falls apart in ways she could never have imagined . . .Meet Ruby and join her adventure in the first of four stories about a happy-go-lucky girl in a time of great change.","11","20","17","0","4","1","0","0","1","0","0","0","1"
"m1p8vG3N","Meet the Piratesons","Knife & Packer","","9781742836706","","http://cdn.bookfish.net.au/covers/9781742836706/small.jpg","96","","The Piratesons are just your average, everyday family. Yes, they have a pet piranha and live in the middle of a pond. Yes, Patty Pirateson is pulling apart a galleon to build the perfect skateboard. Yes, their dad is obsessed with finding a long-lost treasure map. And yes, an active volcano is getting ready to blow and the whole family is stranded on it! But thats nothing out of the ordinary, right? Welcome to Freak Street, a street like any other...until you take a closer look! Are you a freak for Freak Street?","8","8","5","10","10","0","0","0","1","1","0","0","1"
"xoSyRKwF","Meet the Wizardsons","Knife","Knife","9781741690651","","http://cdn.bookfish.net.au/covers/9781741690651/small.jpg","96","","The Wizardsons are just your average, everyday family . . . Yes, they travel by Turbo-Broom. Yes, they stir up trouble in the Magic Cauldron Room. Yes, Wyman Wizardson can turn you into a frog. And yes, they're looking for a new dragon to fire-up their annual barbecue! But that's nothing out of the ordinary, right? Wendy Wizardson is sure her new script will win Freak Street School the 'Best Musical' title in this year's finals. But can she convince TV beauty queen Lavelle Lovely to star in the production? And can the Wizardson's BBQ go ahead without magical mayhem?

","10","3","1","10","12","0","0","0","1","1","1","0","1"
"dPpDPLoR","Meets Fly Girl!","Tedd","Arnold (Illustrator)","9780545110297","","http://cdn.bookfish.net.au/covers/9780545110297/small.jpg","32","","Fly Guy has met his match, and her name is Fly Girl. Fly Guy can do fancy flying. Fly Girl can do fancier flying. Fly Guy can eat gross stuff. Fly Girl can eat grosser stuff. Fly Guy can say his boy's name--Buzzzzzz! And Fly Girl can say her girl's name--Lizzzzzzz! Fly Guy is totally impressed--and totally smitten. Will Fly Guy and Fly Girl get married and leave Buzz without his dear pet?

","1","8","1","10","12","0","0","0","0","1","0","1","0"
"gtg1psLm","Megan the Monday Fairy","Daisy","Meadows","1846161886","","http://cdn.bookfish.net.au/covers/1846161886/small.jpg","80","","The goblins are back again, this time stealing the Fun Day flags, and now everyone is quite miserable, as the Fun Day Fairies can't do their job of making each day fun Can Rachel and Kirsty help Megan the Monday Fairy retrieve her flag?

","8","6","9","10","12","0","0","0","1","1","0","0","1"
"3cqfhmOr","Mermaid Promise","Linda","Chapman","9780141322322","","http://cdn.bookfish.net.au/covers/9780141322322/small.jpg","88","","Electra has had a great idea. It's been a year since her best dolphin friend, Splash, came to live on Mermaid Island- so she's going to throw him a party! But when Splash meets some other wild dolphins, Electra is scared that he will want to swim away with them for ever. How can Electra make Splash stay?

","8","7","9","10","11","0","0","0","1","1","0","0","0"
"vw5eybwu","Mermaid Surprise","Linda","Chapman","9780141322292","","http://cdn.bookfish.net.au/covers/9780141322292/small.jpg","96","","Electra is so excited about Gran's birthday party. She knows the perfect present to get her - a baby sea mouse!But a scary snake has been spotted in the caves where the baby sea mice live.Only a super brave mermaid would swim out there now!

","8","6","9","10","13","0","0","0","1","1","0","0","0"
"GStKWFhn","Merry Christmas, Geronimo!","Geronimo.","Stilton","9780439559744","","http://cdn.bookfish.net.au/covers/9780439559744/small.jpg","128","","Enter the world of Geronimo Stilton, where another funny adventure is always right around the corner. Each book is a fast-paced adventure with lively art and a unique format kids 7-10 will love.  

   

   

 I was so excited about Christmas, I could squeak! My favorite nephew Benjamin was going to come over, and we were planning to trim the tree and eat lots of delicious holiday Cheesy Chews. But before you could say ""cat alert,"" disaster struck! I slipped over my tail and ended up in the hospital. And then my mouse hole caught on fire! Holey cheese, this was turning out to be the worst Christmas ever....","8","10","9","10","16","0","0","0","1","1","0","0","1"
"BBcrF5m5","Messenger The Legend of Joan Of Arc","Tony","Hart Lee","9781406336153","","http://cdn.bookfish.net.au/covers/9781406336153/small.jpg","112","","A gripping and powerful story of Joan of Arc's short but inspirational life fighting for freedom during the One Hundred Years War between France and England. Shaping a story from the original transcripts of Joan of Arc's trial before her death at the stake, Tony Lee portrays the extraordinary life of a young farm girl who becomes the leader of an army of men. Her story tells of a young woman who has an unflinching faith in God and in herself. It is also a story of someone prepared to risk everything in the battle for freedom and independence.","9","18","18","5","18","0","0","0","1","0","0","0","1"
"pmie8UxO","Messy Weird!","Anh","Do","9781742768045","http://cdn.bookfish.net.au/covers/9781742768045/default.jpg","http://cdn.bookfish.net.au/covers/9781742768045/small.jpg","147","","The Do family have a really messy new house to clean up! Weir, Bella and Henry decide to do some extra work to earn pocket money. But can they handle wild lawns, dirty dishes and a vacuum cleaner explosion? It won't be easy... but it will be funny!","3","20","1","10","10","1","0","0","1","1","0","0","1"
"3LwIS7ez","Middle School: Dog's Best Friend ","James","Patterson ","9781784753894","http://cdn.bookfish.net.au/covers/9781784753894/default.jpg","http://cdn.bookfish.net.au/covers/9781784753894/small.jpg","219","","Life in middle school is finally starting to seem bearable, until Rafe spots his grandmother standing on the free-meal line at the local soup kitchen. In order to help bring in more money, Rafe concocts a brilliant plan: a dog-walking business that soon turns into a huge money-making neighborhood empire.","5","20","5","10","5","0","0","1","0","1","0","0","1"
"7jU4j72C","Middle School: Escape to Australia","James","Patterson","9781784759346","http://cdn.bookfish.net.au/covers/9781784759346/default.jpg","http://cdn.bookfish.net.au/covers/9781784759346/small.jpg","257","","Rafe isn't exactly considered a winner in Hills Village Middle School to say the least, but everything's about to change: he's won a school-wide art competition, and the fabulous prize is getting to jet-set off to Australia for a whirlwind adventure! But Rafe soon finds that living in the Land Down Under is harder than he could've ever imagined; his host-siblings are anything but welcoming, the burning temperatures are torturous and poisonous critters are ready to sting or eat him at every step.","5","20","5","10","5","0","0","1","0","1","0","0","1"
"dueNG5ot","Middle School: Get me out of here!","James","Patterson","9781486288083","http://cdn.bookfish.net.au/covers/9781486288083/default.jpg","http://cdn.bookfish.net.au/covers/9781486288083/small.jpg","288","","After sixth grade, the very worst year of his life, Rafe Khatchadorian thinks he has it made in seventh grade. He's been accepted to art school in the big city and imagines a math-and-history-free fun zone. Wrong! It's more competitive than Rafe ever expected, and to score big in class, he needs to find a way to turn his boring life into the inspiration for a work of art.","5","20","5","10","5","0","0","1","0","1","0","0","1"
"CfSIRrEz","Middle School: How I Survived Bullies, Broccoli, and Snake Hill ","James","Patterson","9780316231756","http://cdn.bookfish.net.au/covers/9780316231756/default.jpg","http://cdn.bookfish.net.au/covers/9780316231756/small.jpg","309","","When Rafe Khatchadorian is sent to Camp Wannamorra, he teams up with his bunk mates to fend off the more ""popular"" kids' plans to ruin their summer.","5","20","5","10","5","0","0","1","0","1","0","0","1"
"YxQiBRLV","Middle School: Just my Rotten Luck","James","Patterson","9780316284776","http://cdn.bookfish.net.au/covers/9780316284776/default.jpg","http://cdn.bookfish.net.au/covers/9780316284776/small.jpg","301","","Rafe Khatchadorian's new year at middle school is starting to look depressingly like the old one, except that art class is going well--and when he joins the flag-football team and demonstrates some talent as a running-back, he discovers a way of dealing with his bullying nemesis and teammate, Miller the Killer.","5","20","5","10","5","0","0","1","0","1","0","0","1"
"xuXs5WWL","Middle School: Rafe's Aussie Misadventure ","James","Patterson","9780857986016","http://cdn.bookfish.net.au/covers/9780857986016/default.jpg","http://cdn.bookfish.net.au/covers/9780857986016/small.jpg","320","","Life is finally starting to look up for everyone's favourite troublemaker, Rafe Khatchadorian. No bullying, zero girl dramas, rising grades ? the whole tamale. And when Rafe wins an all-expenses-paid trip to Australia, he can't quite believe his luck. That is, until his dreams of beaches, surfer chicks and cuddly koala bears go horribly wrong. Australia isn't exactly the island paradise Rafe imagined. And nobody mentioned the zombies!","5","20","5","10","5","0","0","1","0","1","0","0","1"
"xIKIErHS","Middle School: Save Rafe! ","James","Patterson","9780099596424","http://cdn.bookfish.net.au/covers/9780099596424/default.jpg","http://cdn.bookfish.net.au/covers/9780099596424/small.jpg","269","","Middle schooler Rafe Khachadorian faces his greatest challenge yet as he struggles to complete a week-long wilderness survival course to prove to his school administrators that he can succeed.","5","20","5","10","5","0","0","1","0","1","0","0","1"
"1i7W2pLU","Middle School: The Worst Years of my Life","James","Patterson","9780316276917","http://cdn.bookfish.net.au/covers/9780316276917/default.jpg","http://cdn.bookfish.net.au/covers/9780316276917/small.jpg","281","","When Rafe Khatchadorian enters middle school, he teams up with his best friend, ""Leo the Silent,"" to create a game to make school more fun by trying to break every rule in the school's code of conduct.","5","20","5","10","5","0","0","1","0","1","0","0","1"
"zhuAEn8D","Middle School: Ultimate Showdown ","James","Patterson","9780099596363","http://cdn.bookfish.net.au/covers/9780099596363/default.jpg","http://cdn.bookfish.net.au/covers/9780099596363/small.jpg","232","","The Khatchadorian kids are an opinionated duo, and as readers of the Middle School stories know, they don't exactly see eye to eye. But when wild-card Rafe and mostly-straight-laced Georgia go at it, the only thing more fun than their ranting is getting to join in! Their back-and-forth banter on a range of topics--from bullying to cafeteria food to school dress codes--introduces more than 40 writing and drawing prompts and other games, along with room for readers to share their own points of view.","5","20","5","10","5","0","0","1","0","1","0","0","1"
"4U6W9AvD","Midnight","Jacqueline","Wilson; Nick Sharratt (Illustrator)","9780440868545","","http://cdn.bookfish.net.au/covers/9780440868545/small.jpg","208","","Violet has always been in the shadow of her mesmerising, controlling brother Will, and when a shocking secret about Will's past is revealed, things get even worse. Violet retreats further into her own fantasy world, built around the fairy characters created by her favourite author, Casper Dream. The arrival of a new girl at school, Jasmine, seems like it might change Violet's life for the better. But is Jasmine a true friend? And will Violet ever manage to break free of Will's spell?

","14","9","12","10","10","0","0","1","0","0","0","0","1"
"OS63XADu","Mighty Mount Kilimanjaro","Geronimo.","Stilton","9780545103718","","http://cdn.bookfish.net.au/covers/9780545103718/small.jpg","128","","Enter the world of Geronimo Stilton, where another funny, cheesy adventure is always right around the corner. Each book is fast-paced with lively art and a unique format kids 7-10 will love.  

   

   

 Rat-munching rattlesnakes! I can't believe it. I, Geronimo Stilton, just let my super-sporty friend Bruce Hyena convince me to go on another one of his extreme adventures. You know me--I just can't say no to a friend! This time, we're going to be climbing to the top of the famouse Mount Kilimanjaro in Africa. Moldy mozzarella! I'm in no shape for a mountain climb. How will I ever make it to the top?","8","8","9","10","15","0","0","0","1","1","0","0","1"
"EPVmzD7e","Miley the Stylist Fairy","Daisy","Meadows","9781408315927","","http://cdn.bookfish.net.au/covers/9781408315927/small.jpg","80","","The girls must help Miley the Stylist Fairy get her magic clef back, or pop stars will never look the part again

","8","6","9","10","12","0","0","0","1","1","0","0","1"
"H1eb3AG6","Million-Dollar Mess Down Under","James","Patterson","9780143784937","http://cdn.bookfish.net.au/covers/9780143784937/default.jpg","http://cdn.bookfish.net.au/covers/9780143784937/small.jpg","250","","When I inherit one million dollars it's not all good news. Sure, I get another free trip Down Under, but this time I have to go to School. Blergh. And not just any school... St. Mungo's is the snobbiest of snobby establishments and you can bet your bottom dollar that I won't fit in. ","13","20","3","10","20","0","0","1","0","1","0","0","1"
"ClYETZxI","Milly the River Fairy","Daisy","Meadows; Georgie Ripper (Illustrator)","9781408304808","","http://cdn.bookfish.net.au/covers/9781408304808/small.jpg","80","","Mean Jack Frost has stolen all of the Green Fairies' wands, as he thinks his goblins are the only real green creatures in the world! Kirsty and Rachel must find Milly's wand and return it to her... But this involves a river chase and some white water rapids!

","8","6","9","10","12","0","0","0","1","1","0","0","1"
"ikB8jJNe","Minigolf Face-off (Girlz Rock)","Holly","Smith. Dinbergs","9781420261400","","http://cdn.bookfish.net.au/covers/9781420261400/small.jpg","48","","""When Sophie introduces Jess to the world of minigolf, she is confident shes going to beat Jess easily. But Jess has a few surprises up her sleeve - or are they in her pocket?

","4","16","9","10","10","1","0","0","0","1","0","1","0"
"YXgSK740","Miracle on Separation Street","Bob","B. Graham","9781406324617","","http://cdn.bookfish.net.au/covers/9781406324617/small.jpg","96","","Jack lives in an unremarkable part of the city called Separation Street with his embarrassing parents and his little brother, Duggie. Jack's mum works hard to buy them a secondhand car, but one morning the family wake up to find it gone Who took it?

","9","18","9","10","10","1","0","0","1","0","0","0","1"
"nka7SNIE","Miranda the Beauty Fairy","Daisy.","Meadows","9781408316740","","http://cdn.bookfish.net.au/covers/9781408316740/small.jpg","80","","Kirsty and Rachel must help Miranda the Beauty Fairy, so that people everywhere can continue to look good and feel great.

","8","5","9","10","12","0","0","0","1","1","0","0","1"
"1VfQ1qRw","Mischief Afoot","Moya","Simons","9781921150753","","http://cdn.bookfish.net.au/covers/9781921150753/small.jpg","127","","The third story in a warm and humorous series about two best friends who open their own detective agency and the cases and mysteries they set about solving. The circus is coming to Milk Bay and with it comes mischief - just in time as, with no cases in sight, David's inner detective is getting desperate. So when a circus performance goes wrong and a magician disappears - along with the circus takings - David sees a chance for some real detectiving. He and Bernice need to track down the magician, and fast. But finding a master of illusion might be harder than they first thought...

","10","15","14","10","15","1","0","0","1","1","0","0","0"
"iZ0WzWIH","Miss Fortune","Brandi","Dougherty","9780545202664","","http://cdn.bookfish.net.au/covers/9780545202664/small.jpg","0","","When a skeptical Zoe has her fortune told at a carnival, and the fortune-teller gives her a special necklace, she starts a run of bad luck that leads her to believe she may be under a curse and that something terrible may be about to happen.","10","8","12","10","9","0","0","0","0","1","0","0","0"
"OjiCt8A9","Miss Peregrine's Home For Peculiar Children","Ransom","Riggs","9781594744761","","http://cdn.bookfish.net.au/covers/9781594744761/small.jpg","352","","A mysterious island.

An abandoned orphanage.

A strange collection of very curious photographs.

It all waits to be discovered in _Miss Peregrine's Home for Peculiar Children_, an unforgettable novel that mixes fiction and photography in a thrilling reading experience. As our story opens, a horrific family tragedy sets sixteen-year-old Jacob journeying to a remote island off the coast of Wales, where he discovers the crumbling ruins of Miss Peregrine's Home for Peculiar Children. As Jacob explores its abandoned bedrooms and hallways, it becomes clear that the children were more than just peculiar. They may have been dangerous. They may have been quarantined on a deserted island for good reason. And somehow--impossible though it seems--they may still be alive.

A spine-tingling fantasy illustrated with haunting vintage photography, _Miss Peregrine's Home for Peculiar Children_ will delight adults, teens, and anyone who relishes an adventure in the shadows.","18","8","16","9","14","0","0","1","0","1","1","0","1"
"JZWnZire","Miss Popularity and the Best Friend Disaster","Francesco.","Sedita","9780545162470","","http://cdn.bookfish.net.au/covers/9780545162470/small.jpg","0","","Cassie Knight's best friends from Texas are coming to visit her for her birthday, but when they arrive, they don't like her new best friend, Etoile, and Etoile doesn't like them.","10","19","11","10","11","0","0","0","0","1","0","0","0"
"8lGKmyVP","Missing Presumed Evil","Garth","Nix","9781742374017","","http://cdn.bookfish.net.au/covers/9781742374017/small.jpg","355","","Trouble is looming over the quiet coastal town of Portland. A door has been opened to the Evil Dimension, and twins Jack and Jaide are about to face their greatest challenge ever .....Jack and Jaide Shield finally learn what it means to be a warden in training as they pit their wits and gifts against mysterious fellow troubletwister Stefano Battaglio. But the competition soon gets serious when a way is opened to the dangerous realm of the Evil. Grandma X discovers her twin sister, Lottie, is stranded there - but she's forbidden from travelling through the vortex to look for her. That doesn't stop Jaide and Jack from trying, and the rescue becomes urgent when the twins find out about a plan that will trap Lottie on the other side forever. Can the twins find Lottie, defeat the Evil and get everyone safely home to Portland - before it's too late?","13","2","11","10","16","1","0","1","0","1","0","0","1"
"xc2ADbed","Moldfinger","Knife;","Packer","9781406324334","","http://cdn.bookfish.net.au/covers/9781406324334/small.jpg","144","","Having defeated killer earwax, sewer monsters, fairies and aliens, Gene, Gerald and Fleabag are on the hunt for an evil genius who is stealing the world's compost. In this hilarious James Bond-style parody, they pursue the compost to the villain's lair on Fungipelago.

","8","7","6","10","11","0","0","0","1","1","0","0","0"
"bFBlxymP","Molly Moon and the Morphing Mystery","Georgia","Byng","9780330471053","","http://cdn.bookfish.net.au/covers/9780330471053/small.jpg","384","","Molly Moon is unstoppable! She's a master hypnotist, a time-traveller and a mind-reader, and in this sizzling story she harnesses a new power - morphing. Soon she and her twin brother Micky are swapping bodies with ladybirds, rats, even the Queen of England herself! But the fun can't last forever . . . and unless they can get their hands on the 'The Advanced Arts' hypnotism book, they will never get back to their own bodies. Sabotaged by a gaggle of wicked women who want to destroy them, Molly and Micky must find a way to return to themselves in spite of all the dangerous surprises thrown in their way.

","12","10","9","10","12","0","0","1","0","0","0","0","0"
"BBU6sXSi","Molly the Goldfish Fairy","Daisy","Meadows","184616172X","","http://cdn.bookfish.net.au/covers/184616172X/small.jpg","80","","Young readers can follow Molly the Goldfish Fairy in this magical adventure.

","8","5","9","10","11","0","0","0","1","1","0","0","1"
"ILpHV6bp","Monster Blood for Breakfast!","R.","L. Stine","9780439918718","","http://cdn.bookfish.net.au/covers/9780439918718/small.jpg","160","","It's a whole new ride from the master of fright and bestselling author R.L. Stine--with a story so fiendish that it can't be contained in just one book!  

   

   

 For an athlete like Matt Daniels, breakfast is the most important meal of the day. It's also the most dangerous. That's because somebody is about to pull a mean prank. The recipe is simple: Just add gooey, green Monster Blood.  

   

   

 As if Matt's problems weren't big and slimy enough, an invitation to HorrorLand is also on its way. Can Matt survive inside a terrifying scream park where trouble lurks behind every turnstile? Can YOU?  

   

   

","9","8","17","10","17","0","0","1","0","1","0","0","0"
"dDSQPpiT","Moody Margaret","Francesca","Simon; Tony Ross (Illustrator)","9781444001129","","http://cdn.bookfish.net.au/covers/9781444001129/small.jpg","64","","Early Readers are stepping stones from picture books to reading books. A blue Early Reader is perfect for sharing and reading together. A red Early Reader is the next step on your reading journey.



 

 



Horrid Henry and Moody Margaret cook up trouble making Glop!

","2","15","5","10","10","0","0","0","0","0","0","1","0"
"h9sFwpg7","Moody Margaret Strikes Back","Francesca","Simon","9781444000092","","http://cdn.bookfish.net.au/covers/9781444000092/small.jpg","64","","Moody Margaret and the Secret Club strike back! With their most ingenious dares and hilarious jokes, it's time for the girls to get their own back on Henry and his friends. But Henry isn't about to let anyone get the better of him, resulting in a hilariously horrid showdown!



 

 



Filled with witty comments and acerbic asides from Henry and Margaret's friends, enemies, families and teachers, along with brand new Tony Ross illustrations, this book should keep Henry's (and Margaret's!) fans mischievously quiet.

","8","15","5","10","10","0","0","0","0","0","0","1","0"
"WgpGSMRF","Moody Margaret's School","Francesca","Simon; Tony Ross (Illustrator)","9781444001082","","http://cdn.bookfish.net.au/covers/9781444001082/small.jpg","80","","Early Readers are stepping stones from picture books to reading books. A blue Early Reader is perfect for sharing and reading together. A red Early Reader is the next step on your reading journey.



 

 



Forced to play schools at Moody Margaret's house, Henry is determined to find a way to get sent home. But how?

","2","15","5","10","10","0","0","0","1","1","1","0","0"
"Bhmoi1ZL","Moonrise","Sarah","Crossan","9781408878439","http://cdn.bookfish.net.au/covers/9781408878439/default.jpg","http://cdn.bookfish.net.au/covers/9781408878439/small.jpg","385","","Joe hasn't seen his brother for ten years, and it's for the most brutal of reasons. Ed is on death row. But now Ed's execution date has been set, and Joe is determined to spend those last weeks with him, no matter what other people think. What value do you place on life? What can you forgive? And just how do you say goodbye?","10","20","20","10","2","0","0","1","0","0","0","0","1"
