"","","cIfeQ515","t2lzh918","5KTmnC80","8bWxTQTP","MrF79raA","I94q8zpE","vqHfQURj","IEugXXTw","B89","0U9","aMQ","IES","EM3","DYP","r5M","4zB","unU","wfm","nEo","xov","24a"
"ID","Name","Author Firstname","Author Surname","ISBN","Image URL Large","Image URL Thumb","Number of Pages","Soundcloud Track ID","Synopsis","Easy to Read_Challenging","Fantasy_Reality","Funny_Serious","Historical_Futuristic","Less Action_More Action","Australian","Has audio review","Long","Medium","Series","Series lead","Short","VPRC"
"XJudwynd","Alice Miranda 13: Alice-Miranda to the Rescue ","Jacqueline","Harvey","9780857985224","http://cdn.bookfish.net.au/covers/9780857985224/default.jpg","http://cdn.bookfish.net.au/covers/9780857985224/small.jpg","363","","Mischief and mayhem at Winchesterfield-Downsfordvale... It's the beginning of term and Alice-Miranda is delighted to be back at school, especially when she hears the news of Miss Reedy's and Mr Plumpton's upcoming wedding. Meanwhile, Caprice and Millie's bickering reaches an all-time high and things look set to explode. Nearby in Downsfordvale, there is also plenty afoot with the village about to host Chudleigh's, the country's largest dog show. Along with the event come a number of bizarre characters. Could their strange behaviour be hiding something more alarming? If so, Alice-Miranda will need to act quickly to save the day!","10","20","15","10","5","1","0","1","0","1","0","0","1"
"cr56EEaN","Alice Miranda 14: Alice-Miranda in China ","Jacqueline ","Harvey","9780857985200","http://cdn.bookfish.net.au/covers/9780857985200/default.jpg","http://cdn.bookfish.net.au/covers/9780857985200/small.jpg","358","","When a surprise letter arrives at Winchesterfield-Downsfordvale Academy for Proper Young Ladies offering a cultural exchange to Beijing, Alice-Miranda and her friends are quick to sign up. They cant wait to experience the delights of one of the world's busiest cities! While there, the visitors will attend The Bright Star Academy and be billeted among the local students. Excitingly, Alice-Miranda and Jacinta are placed with a family who own one of the most famous acrobatic circus troupes in China. Their shows are spectacular but on closer inspection it appears that attempts are being made to sabotage the performances. Is it an insider, or is someone else trying to bring the family down? When Alice-Miranda stumbles upon a priceless missing antiquity in her host's home the mystery deepens. Will the saboteur be caught before it s too late?","10","20","15","10","5","1","0","1","0","1","0","0","1"
"hVcipXCI","Alice Miranda 14: Alice-Miranda in China ","Jacqueline ","Harvey","9780857985200","http://cdn.bookfish.net.au/covers/9780857985200/default.jpg","http://cdn.bookfish.net.au/covers/9780857985200/small.jpg","358","","When a surprise letter arrives at Winchesterfield-Downsfordvale Academy for Proper Young Ladies offering a cultural exchange to Beijing, Alice-Miranda and her friends are quick to sign up. They cant wait to experience the delights of one of the world's busiest cities! While there, the visitors will attend The Bright Star Academy and be billeted among the local students. Excitingly, Alice-Miranda and Jacinta are placed with a family who own one of the most famous acrobatic circus troupes in China. Their shows are spectacular but on closer inspection it appears that attempts are being made to sabotage the performances. Is it an insider, or is someone else trying to bring the family down? When Alice-Miranda stumbles upon a priceless missing antiquity in her host's home the mystery deepens. Will the saboteur be caught before it s too late?","10","20","15","10","5","1","0","1","0","1","0","0","1"
"27RCVWlM","Alice Miranda 15: Alice-Miranda Holds the Key ","Jacqueline","Harvey","9780143780700","http://cdn.bookfish.net.au/covers/9780143780700/default.jpg","http://cdn.bookfish.net.au/covers/9780143780700/small.jpg","365","","In a startling turn of events, Alice-Miranda unexpectedly finishes the school term earlier than planned. Holidays should be a time for fun and a chance to catch up with friends, but it seems all is not well at Highton Hall. There is trouble afoot with the family business and it's got everyone worried. Scores of people have been struck down with a mystery illness and it looks as if Kennington's may be responsible. Meanwhile, there is an annual garden party to prepare for. And the whole village is invited! Throw in an intriguing neighbour, a runaway and a swindler and it may be the perfect recipe for disaster. Alice-Miranda will have to trust her intuition to find the key to unlock this mystery.","10","20","15","10","5","1","0","1","0","1","0","0","1"
"jp85tE82","Alice Miranda 17: Alice-Miranda in Scotland","Jacqueline","Harvey","9780143786016","http://cdn.bookfish.net.au/covers/9780143786016/default.jpg","http://cdn.bookfish.net.au/covers/9780143786016/small.jpg","367","","Alice-Miranda and her friends have been invited to attend the Queen's Colours inaugural leadership program in Scotland and they just might be joined by a few familiar faces from around the globe. There are plenty of skills to be learned and challenges to conquer, and the excitement could be enough to push some over the edge. Luckily, there is plenty to divert the students' attention including a surprise encounter on Loch Ness. Could it be the region's mythical monster? Little do they know it's the real monster in their midst they should be worried about.","10","20","15","10","5","1","0","1","0","1","0","0","1"
"MboqfsA8","Alice the Tennis Fairy","Daisy.","Meadows","9781846168932","","http://cdn.bookfish.net.au/covers/9781846168932/small.jpg","80","","The Sporty Fairies are in need of Rachel and Kirsty's help. Everyone in Fairyland is preparing for the Fairy Olympics, but Jack Frost and his goblins have stolen the magic sporty items so they can win by cheating! What's more, with the items missing, everyone in the human world is playing sports really badly, and so the human Olympics is in danger of being ruined too! Rachel and Kirsty love playing tennis, but with Alice's Magic Tennis Ball missing, they can't seem to hit one shot! The girls must help Alice find the goblins before it's too late.","5","2","11","10","11","0","0","0","1","1","0","0","1"
"AmQgnQUP","Alice's Adventures in Wonderland","0","Carroll","9780230755383","","http://cdn.bookfish.net.au/covers/9780230755383/small.jpg","208","","The classic full-color Alice in a large-format gift edition, with original illustrations, cover foiling, and foreword by Philip Pullman. A timeless heroine, Alice is quick witted, determined, and resourceful. In her extraordinary adventures she meets a series of unforgettable characters, from the bossy White Rabbit to the grinning Cheshire-Cat and the mad Hatter, all of whom are as famous as Alice herself. This gorgeous hardback gift edition includes Sir John Tenniel's much-loved illustrations with their original coloring which defines the authentic image of Alice as blond haired with blue stripy stockings.","10","3","8","8","12","0","0","1","0","0","0","0","1"
"dkRM2vgh","Alice-Miranda Shows the Way","Jacqueline","Harvey","9781742751177","","http://cdn.bookfish.net.au/covers/9781742751177/small.jpg","368","","Alice-Miranda has a birthday to celebrate and a village show to look forward to! One of the highlights of the Winchesterfield show is the Queen's Cup horserace. But Aunty Gee's prize racehorse, Rockstar, is refusing to leave the stables. That is, until Alice-Miranda introduces him to her own naughty pony, Bonaparte. Preparations for the show are coming along well until a series of thefts rocks the community. Things quickly go from bad to worse when Alice-Miranda's beloved Bony is horse-napped. Can Alice-Miranda uncover the culprit and get her horse back in time for Rockstar to compete in the race?

","11","15","9","10","10","1","0","1","0","1","1","0","1"
"Xl0Aj7xq","Alice-Miranda Takes the Lead","Jacqueline","Harvey","9781864718492","","http://cdn.bookfish.net.au/covers/9781864718492/small.jpg","304","","Alice-Miranda is awfully excited to be back at school. On an afternoon ride with Bony the pony, Alice-Miranda happens upon a dilapidated mansion and spies a sad, veiled figure inside. Could this be the 'witch in the woods' that Millie and Jacinta were gossiping about? Jacinta thinks there's more than one witch about. Her room mate is new girl Sloane Sykes and the pair clash right from the start. Sloane's brother Septimus has started at the neighbouring boys' school, Fayle. The boys of Fayle and the girls of Winchesterfield-Downsfordvale are putting on a play and Alice-Miranda has won the lead role. Sloane's all set to star too, to the delight of her pushy mother, September. The school play isn't the only cause of drama and intrigue. September Sykes has a terrible plan to win her family the fortune she's sure it deserves. When Alice-Miranda learns of the plot, she knows just how to ensure both schools remain as happy as they were last term.

","12","17","10","10","13","0","0","1","0","1","0","0","0"
"77d3HvZC","Alice-Miranda in Hollywood","Jacqueline ","Harvey","9780143780618","http://cdn.bookfish.net.au/covers/9780143780618/default.jpg","http://cdn.bookfish.net.au/covers/9780143780618/small.jpg","358","","Alice-Miranda and her friends are off to Hollywood to take part in Lawrence Ridley's new movie. It's a western with a twist, and they'll be shooting some scenes on location at the picturesque Grand Canyon. Everyone's excited to get a sneak peek of the glitz and glamour of show business, especially Caprice! On set, however, there is high drama with tears and tantrums, romance and a string of suspicious mishaps. Is there a villain lurking behind the scenes, or could the rumours of a curse be true? Alice-Miranda is determined to get to the bottom of the mystery before tensions explode.","7","18","5","10","9","1","0","1","0","1","0","0","1"
